HDFC BANK LTD
"Statement of account for Salaried professional, Bengaluru"
Account No,501006433012
Account Type,SAVINGS ACCOUNT

Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
12/03/25,POS 4659XXXXXXXX2601 MCDONALDS INDIA PVT,,12/03/25,601.35,,302713.25
12/03/25,UPI/708803892113/MAHANAGAR GAS BILL PAY/MGAS,,12/03/25,759.50,,301953.75
12/03/25,UPI/817680937234/PAYTM FASTAG RECHARGE/PYTM,,12/03/25,867.36,,301086.39
13/03/25,UPI/847412594858/PAYTM FASTAG RECHARGE/PYTM,,13/03/25,967.67,,300118.72
14/03/25,POS 4937XXXXXXXX7246 IKEA INDIA PVT LTD,,14/03/25,4466.28,,295652.44
14/03/25,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,14/03/25,599.00,,295053.44
15/03/25,POS 4169XXXXXXXX2482 DMART AVENUE SUPERMARTS,,15/03/25,2676.24,,292377.20
16/03/25,ACH DR ADOBE CREATIVE CLOUD,,16/03/25,1675.00,,290702.20
16/03/25,UPI/131196230635/CRED CLUB CREDIT CARD BILL/AXIS,,16/03/25,9972.01,,280730.19
16/03/25,UPI/264211767328/AMAZON SELLER SERV REFUND/HDFC,,16/03/25,,1509.63,282239.82
17/03/25,ATW-4725XXXXXXXX3121-HDFC BANK ATM CASH WITHDRAWAL,,17/03/25,10000.00,,272239.82
17/03/25,POS 5358XXXXXXXX1777 LAKME SALON,,17/03/25,1912.34,,270327.48
19/03/25,ACH DR GOOGLE ONE STORAGE,,19/03/25,210.00,,270117.48
21/03/25,ATW-4442XXXXXXXX4270-HDFC BANK ATM CASH WITHDRAWAL,,21/03/25,3000.00,,267117.48
21/03/25,UPI/118021290689/UBER INDIA SYSTEMS/HDFC,,21/03/25,159.50,,266957.98
22/03/25,POS 4047XXXXXXXX2430 THIRD WAVE COFFEE,,22/03/25,287.18,,266670.80
22/03/25,UPI/834699824239/NAMMA YATRI/AXIS,,22/03/25,188.10,,266482.70
25/03/25,POS 5316XXXXXXXX9857 DECATHLON SPORTS INDIA,,25/03/25,2639.00,,263843.70
25/03/25,UPI/715722916990/BEHROUZ BIRYANI/PAYTM,,25/03/25,1114.06,,262729.64
28/03/25,UPI/680350100652/BARBEQUE NATION HOSP/HDFC,,28/03/25,1799.93,,260929.71
29/03/25,POS 5389XXXXXXXX5615 PVR CINEMAS LTD,,29/03/25,1061.37,,259868.34
29/03/25,UPI/726942874489/DOMINOS PIZZA IND/ICIC,,29/03/25,653.12,,259215.22
29/03/25,UPI/812830064160/OLA CABS ANI TECH/PAYTM,,29/03/25,571.35,,258643.87
01/04/25,NEFT CR-HDFC0000123-ACME TECHNOLOGIES PVT LTD-SALARY APR25,,01/04/25,,184939.25,443583.12
02/04/25,POS 5193XXXXXXXX8865 DECATHLON SPORTS INDIA,,02/04/25,4207.99,,439375.13
02/04/25,UPI/999350493864/NOBROKER PAY RENT LANDLORD/HDFC,,02/04/25,34000.00,,405375.13
03/04/25,POS 4207XXXXXXXX2942 HPCL PETROL PUMP,,03/04/25,1860.43,,403514.70
03/04/25,UPI/768569600718/BEHROUZ BIRYANI/PAYTM,,03/04/25,573.55,,402941.15
05/04/25,ACH DR HDFC BANK HOME LOAN EMI APR25,,05/04/25,21500.00,,381441.15
05/04/25,POS 5022XXXXXXXX3951 STARBUCKS COFFEE INDIA,,05/04/25,781.92,,380659.23
05/04/25,POS 5545XXXXXXXX9798 STEAM GAMES VALVE CORP,,05/04/25,1409.69,,379249.54
05/04/25,UPI/622128562378/UBER INDIA SYSTEMS/HDFC,,05/04/25,176.37,,379073.17
05/04/25,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,05/04/25,1199.00,,377874.17
06/04/25,POS 4012XXXXXXXX6746 IRCTC RAIL TICKET BOOKING,,06/04/25,652.61,,377221.56
06/04/25,UPI/452127278987/ZERODHA BROKING MF SIP/ZERO,,06/04/25,20000.00,,357221.56
06/04/25,UPI/767279437183/BLINKIT GROCERY/HDFC,,06/04/25,1063.61,,356157.95
06/04/25,UPI/985690146404/BEHROUZ BIRYANI/PAYTM,,06/04/25,1327.84,,354830.11
07/04/25,ACH DR NETFLIX ENTERTAINMENT SVC,,07/04/25,649.00,,354181.11
07/04/25,POS 4295XXXXXXXX2435 MYNTRA DESIGNS PVT LTD,,07/04/25,2296.00,,351885.11
07/04/25,UPI/257604191391/NAMMA YATRI/AXIS,,07/04/25,169.14,,351715.97
08/04/25,UPI/744584751816/RAPIDO BIKE TAXI/YESB,,08/04/25,68.75,,351647.22
08/04/25,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,08/04/25,3110.58,,348536.64
09/04/25,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,09/04/25,2450.00,,346086.64
09/04/25,ATW-5588XXXXXXXX2483-HDFC BANK ATM CASH WITHDRAWAL,,09/04/25,5000.00,,341086.64
09/04/25,POS 5208XXXXXXXX2205 HPCL PETROL PUMP,,09/04/25,2494.47,,338592.17
09/04/25,UPI/613130345914/SWIGGY FOOD ORDER/HDFC,,09/04/25,728.70,,337863.47
11/04/25,ACH DR SPOTIFY INDIA PREMIUM,,11/04/25,164.00,,337699.47
11/04/25,POS 5486XXXXXXXX9927 DECATHLON SPORTS INDIA,,11/04/25,1807.83,,335891.64
12/04/25,ATW-5571XXXXXXXX4995-HDFC BANK ATM CASH WITHDRAWAL,,12/04/25,5000.00,,330891.64
12/04/25,UPI/185270155319/MAHANAGAR GAS BILL PAY/MGAS,,12/04/25,1080.15,,329811.49
13/04/25,POS 5485XXXXXXXX6700 THIRD WAVE COFFEE,,13/04/25,495.90,,329315.59
14/04/25,UPI/341582606757/UBER INDIA SYSTEMS/HDFC,,14/04/25,694.94,,328620.65
14/04/25,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,14/04/25,599.00,,328021.65
15/04/25,POS 4128XXXXXXXX9647 STARBUCKS COFFEE INDIA,,15/04/25,359.82,,327661.83
16/04/25,ACH DR ADOBE CREATIVE CLOUD,,16/04/25,1675.00,,325986.83
17/04/25,POS 4477XXXXXXXX7901 CHAAYOS TEA CAFE,,17/04/25,352.47,,325634.36
17/04/25,POS 5537XXXXXXXX4649 HPCL PETROL PUMP,,17/04/25,1990.72,,323643.64
18/04/25,UPI/269434373907/BARBEQUE NATION HOSP/HDFC,,18/04/25,3398.22,,320245.42
18/04/25,UPI/391482405013/CRED CLUB CREDIT CARD BILL/AXIS,,18/04/25,13155.15,,307090.27
18/04/25,UPI/860318208255/COUNTRY DELIGHT MILK/AXIS,,18/04/25,722.96,,306367.31
19/04/25,ACH DR GOOGLE ONE STORAGE,,19/04/25,210.00,,306157.31
20/04/25,POS 4428XXXXXXXX9163 DMART AVENUE SUPERMARTS,,20/04/25,3799.48,,302357.83
21/04/25,POS 5599XXXXXXXX4800 DMART AVENUE SUPERMARTS,,21/04/25,4205.44,,298152.39
22/04/25,POS 4146XXXXXXXX7911 MCDONALDS INDIA PVT,,22/04/25,403.60,,297748.79
22/04/25,UPI/329970776161/OLA CABS ANI TECH/PAYTM,,22/04/25,506.81,,297241.98
23/04/25,UPI/801795813504/LICIOUS MEAT DELIVERY/HDFC,,23/04/25,1261.62,,295980.36
24/04/25,UPI/431535740626/PAYTM FASTAG RECHARGE/PYTM,,24/04/25,509.41,,295470.95
25/04/25,UPI/293393389465/DOMINOS PIZZA IND/ICIC,,25/04/25,792.66,,294678.29
26/04/25,POS 4541XXXXXXXX6349 AMAZON SELLER SERVICES,,26/04/25,7049.79,,287628.50
26/04/25,POS 5225XXXXXXXX3852 IRCTC RAIL TICKET BOOKING,,26/04/25,2647.99,,284980.51
27/04/25,POS 4672XXXXXXXX8489 STEAM GAMES VALVE CORP,,27/04/25,2722.89,,282257.62
29/04/25,UPI/585566985275/DOMINOS PIZZA IND/ICIC,,29/04/25,744.97,,281512.65
30/04/25,UPI/132513384027/BARBEQUE NATION HOSP/HDFC,,30/04/25,2189.39,,279323.26
30/04/25,UPI/448263613869/UBER INDIA SYSTEMS/HDFC,,30/04/25,222.09,,279101.17
01/05/25,NEFT CR-HDFC0000123-ACME TECHNOLOGIES PVT LTD-SALARY MAY25,,01/05/25,,184721.23,463822.40
01/05/25,UPI/146874425887/DOMINOS PIZZA IND/ICIC,,01/05/25,727.10,,463095.30
02/05/25,UPI/382681006427/WOW MOMO FOODS/AXIS,,02/05/25,518.17,,462577.13
02/05/25,UPI/469527318049/NOBROKER PAY RENT LANDLORD/HDFC,,02/05/25,34000.00,,428577.13
03/05/25,POS 5125XXXXXXXX1749 LAKME SALON,,03/05/25,1535.00,,427042.13
03/05/25,UPI/777982385706/WOW MOMO FOODS/AXIS,,03/05/25,377.57,,426664.56
05/05/25,ACH DR HDFC BANK HOME LOAN EMI MAY25,,05/05/25,21500.00,,405164.56
05/05/25,UPI/505762333572/NAMMA YATRI/AXIS,,05/05/25,154.32,,405010.24
05/05/25,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,05/05/25,1199.00,,403811.24
06/05/25,UPI/833029762430/ZERODHA BROKING MF SIP/ZERO,,06/05/25,20000.00,,383811.24
07/05/25,ACH DR NETFLIX ENTERTAINMENT SVC,,07/05/25,649.00,,383162.24
07/05/25,UPI/266286037289/FLIPKART INTERNET/HDFC,,07/05/25,3185.22,,379977.02
08/05/25,UPI/236509697734/NAMMA YATRI/AXIS,,08/05/25,103.85,,379873.17
08/05/25,UPI/240790279015/COUNTRY DELIGHT MILK/AXIS,,08/05/25,634.44,,379238.73
08/05/25,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,08/05/25,2020.80,,377217.93
09/05/25,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,09/05/25,2450.00,,374767.93
10/05/25,POS 4701XXXXXXXX9761 HPCL PETROL PUMP,,10/05/25,1691.88,,373076.05
10/05/25,UPI/310678619621/ZOMATO ONLINE ORDER/YESB,,10/05/25,996.51,,372079.54
10/05/25,UPI/653171925068/BIGBASKET SUPERMKT/ICIC,,10/05/25,2979.33,,369100.21
11/05/25,ACH DR SPOTIFY INDIA PREMIUM,,11/05/25,164.00,,368936.21
11/05/25,UPI/681156505468/BEHROUZ BIRYANI/PAYTM,,11/05/25,1122.98,,367813.23
12/05/25,POS 4866XXXXXXXX9680 CHAAYOS TEA CAFE,,12/05/25,330.39,,367482.84
12/05/25,UPI/678939773116/MAHANAGAR GAS BILL PAY/MGAS,,12/05/25,894.53,,366588.31
13/05/25,POS 4788XXXXXXXX3508 THIRD WAVE COFFEE,,13/05/25,313.98,,366274.33
14/05/25,POS 4688XXXXXXXX8775 THIRD WAVE COFFEE,,14/05/25,272.97,,366001.36
14/05/25,POS 5192XXXXXXXX3657 DECATHLON SPORTS INDIA,,14/05/25,5353.23,,360648.13
14/05/25,UPI/177684290705/COUNTRY DELIGHT MILK/AXIS,,14/05/25,835.40,,359812.73
14/05/25,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,14/05/25,599.00,,359213.73
16/05/25,ACH DR ADOBE CREATIVE CLOUD,,16/05/25,1675.00,,357538.73
17/05/25,UPI/878986174913/RAPIDO BIKE TAXI/YESB,,17/05/25,98.28,,357440.45
18/05/25,UPI/133339294864/ZOMATO ONLINE ORDER/YESB,,18/05/25,1007.52,,356432.93
18/05/25,UPI/600162058922/UBER INDIA SYSTEMS/HDFC,,18/05/25,369.30,,356063.63
19/05/25,ACH DR GOOGLE ONE STORAGE,,19/05/25,210.00,,355853.63
19/05/25,ATW-5121XXXXXXXX4238-HDFC BANK ATM CASH WITHDRAWAL,,19/05/25,10000.00,,345853.63
19/05/25,POS 4767XXXXXXXX6487 MYNTRA DESIGNS PVT LTD,,19/05/25,2495.53,,343358.10
19/05/25,POS 5080XXXXXXXX6530 CHAAYOS TEA CAFE,,19/05/25,277.14,,343080.96
19/05/25,SMS ALERT CHARGES INCL GST,,19/05/25,17.70,,343063.26
20/05/25,UPI/593410823045/COUNTRY DELIGHT MILK/AXIS,,20/05/25,682.35,,342380.91
20/05/25,UPI/694429187605/RAPIDO BIKE TAXI/YESB,,20/05/25,83.33,,342297.58
20/05/25,UPI/836585672549/WOW MOMO FOODS/AXIS,,20/05/25,384.28,,341913.30
21/05/25,UPI/170508402297/APOLLO PHARMACY/HDFC,,21/05/25,713.87,,341199.43
22/05/25,ATW-4767XXXXXXXX8108-HDFC BANK ATM CASH WITHDRAWAL,,22/05/25,10000.00,,331199.43
22/05/25,UPI/103387484732/COUNTRY DELIGHT MILK/AXIS,,22/05/25,662.11,,330537.32
22/05/25,UPI/274912571022/WOW MOMO FOODS/AXIS,,22/05/25,423.99,,330113.33
23/05/25,POS 5406XXXXXXXX8024 PRACTO CONSULT,,23/05/25,1295.09,,328818.24
23/05/25,UPI/997789016989/DOMINOS PIZZA IND/ICIC,,23/05/25,624.19,,328194.05
24/05/25,UPI/867427322281/LICIOUS MEAT DELIVERY/HDFC,,24/05/25,1423.36,,326770.69
25/05/25,POS 4837XXXXXXXX8272 DMART AVENUE SUPERMARTS,,25/05/25,4214.85,,322555.84
25/05/25,UPI/151561071363/WOW MOMO FOODS/AXIS,,25/05/25,542.91,,322012.93
27/05/25,IMPS DR-876962541-SELF TRANSFER TO SAVINGS AC,,27/05/25,30882.99,,291129.94
27/05/25,UPI/264519349167/ZOMATO ONLINE ORDER/YESB,,27/05/25,643.30,,290486.64
31/05/25,UPI/242256634729/ZOMATO ONLINE ORDER/YESB,,31/05/25,435.01,,290051.63
31/05/25,UPI/257358513307/ZEPTO NOW/YESB,,31/05/25,1137.85,,288913.78
31/05/25,UPI/348040247428/NAMMA YATRI/AXIS,,31/05/25,270.58,,288643.20
01/06/25,NEFT CR-HDFC0000123-ACME TECHNOLOGIES PVT LTD-SALARY JUN25,,01/06/25,,185634.38,474277.58
01/06/25,POS 4808XXXXXXXX8192 DECATHLON SPORTS INDIA,,01/06/25,2881.41,,471396.17
01/06/25,UPI/577313432793/DOMINOS PIZZA IND/ICIC,,01/06/25,857.88,,470538.29
02/06/25,UPI/407953319343/NOBROKER PAY RENT LANDLORD/HDFC,,02/06/25,34000.00,,436538.29
02/06/25,UPI/862284861551/NAMMA YATRI/AXIS,,02/06/25,176.25,,436362.04
04/06/25,UPI/580140648555/PAYTM FASTAG RECHARGE/PYTM,,04/06/25,876.52,,435485.52
05/06/25,ACH DR HDFC BANK HOME LOAN EMI JUN25,,05/06/25,21500.00,,413985.52
05/06/25,UPI/900178612194/OLA CABS ANI TECH/PAYTM,,05/06/25,539.49,,413446.03
05/06/25,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,05/06/25,1199.00,,412247.03
06/06/25,UPI/192928082098/ZERODHA BROKING MF SIP/ZERO,,06/06/25,20000.00,,392247.03
07/06/25,ACH DR NETFLIX ENTERTAINMENT SVC,,07/06/25,649.00,,391598.03
07/06/25,POS 4611XXXXXXXX5625 STARBUCKS COFFEE INDIA,,07/06/25,804.13,,390793.90
07/06/25,POS 4720XXXXXXXX8957 IKEA INDIA PVT LTD,,07/06/25,4098.40,,386695.50
08/06/25,POS 5402XXXXXXXX7843 PRACTO CONSULT,,08/06/25,1316.18,,385379.32
08/06/25,UPI/996074407411/WOW MOMO FOODS/AXIS,,08/06/25,443.03,,384936.29
08/06/25,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,08/06/25,1715.93,,383220.36
09/06/25,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,09/06/25,2450.00,,380770.36
09/06/25,POS 5253XXXXXXXX8265 MCDONALDS INDIA PVT,,09/06/25,401.67,,380368.69
09/06/25,UPI/323863284431/RAPIDO BIKE TAXI/YESB,,09/06/25,160.50,,380208.19
11/06/25,ACH DR SPOTIFY INDIA PREMIUM,,11/06/25,164.00,,380044.19
11/06/25,POS 4299XXXXXXXX5321 IRCTC RAIL TICKET BOOKING,,11/06/25,2180.24,,377863.95
11/06/25,POS 4816XXXXXXXX9834 THIRD WAVE COFFEE,,11/06/25,358.98,,377504.97
12/06/25,UPI/924166625382/MAHANAGAR GAS BILL PAY/MGAS,,12/06/25,780.26,,376724.71
14/06/25,POS 4297XXXXXXXX7265 DMART AVENUE SUPERMARTS,,14/06/25,4540.66,,372184.05
14/06/25,UPI/574574104725/UBER INDIA SYSTEMS/HDFC,,14/06/25,592.26,,371591.79
14/06/25,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,14/06/25,599.00,,370992.79
15/06/25,POS 5505XXXXXXXX5340 PRACTO CONSULT,,15/06/25,991.24,,370001.55
15/06/25,UPI/304849374015/NAMMA YATRI/AXIS,,15/06/25,130.47,,369871.08
15/06/25,UPI/930588119099/WOW MOMO FOODS/AXIS,,15/06/25,710.93,,369160.15
15/06/25,UPI/979550802843/LICIOUS MEAT DELIVERY/HDFC,,15/06/25,1791.49,,367368.66
16/06/25,ACH DR ADOBE CREATIVE CLOUD,,16/06/25,1675.00,,365693.66
16/06/25,UPI/291096478399/PAYTM FASTAG RECHARGE/PYTM,,16/06/25,533.92,,365159.74
17/06/25,POS 4345XXXXXXXX2053 CHAAYOS TEA CAFE,,17/06/25,375.21,,364784.53
18/06/25,POS 4177XXXXXXXX8522 THIRD WAVE COFFEE,,18/06/25,326.66,,364457.87
18/06/25,POS 4780XXXXXXXX5019 PRACTO CONSULT,,18/06/25,1450.45,,363007.42
18/06/25,UPI/289516250727/AMAZON SELLER SERV REFUND/HDFC,,18/06/25,,1368.01,364375.43
19/06/25,ACH DR GOOGLE ONE STORAGE,,19/06/25,210.00,,364165.43
20/06/25,UPI/676672472909/URBAN COMPANY SALON/HDFC,,20/06/25,676.26,,363489.17
21/06/25,ATW-4974XXXXXXXX5946-HDFC BANK ATM CASH WITHDRAWAL,,21/06/25,5000.00,,358489.17
21/06/25,UPI/328434628485/LICIOUS MEAT DELIVERY/HDFC,,21/06/25,1673.63,,356815.54
22/06/25,ACH DR AMAZON PRIME MEMBERSHIP,,22/06/25,1499.00,,355316.54
22/06/25,UPI/339063089183/BARBEQUE NATION HOSP/HDFC,,22/06/25,3466.26,,351850.28
24/06/25,UPI/565850244825/SWIGGY FOOD ORDER/HDFC,,24/06/25,429.28,,351421.00
25/06/25,POS 4613XXXXXXXX9912 MYNTRA DESIGNS PVT LTD,,25/06/25,5239.91,,346181.09
27/06/25,POS 4571XXXXXXXX1444 HPCL PETROL PUMP,,27/06/25,2626.14,,343554.95
28/06/25,POS 4617XXXXXXXX2628 DMART AVENUE SUPERMARTS,,28/06/25,2973.93,,340581.02
29/06/25,UPI/274802533882/PAYTM FASTAG RECHARGE/PYTM,,29/06/25,932.29,,339648.73
29/06/25,UPI/781920205511/ZOMATO ONLINE ORDER/YESB,,29/06/25,879.71,,338769.02
30/06/25,UPI/820469658627/ZOMATO ONLINE ORDER/YESB,,30/06/25,311.72,,338457.30
01/07/25,NEFT CR-HDFC0000123-ACME TECHNOLOGIES PVT LTD-SALARY JUL25,,01/07/25,,185389.80,523847.10
01/07/25,UPI/398856238077/UBER INDIA SYSTEMS/HDFC,,01/07/25,140.73,,523706.37
02/07/25,UPI/597311215024/NOBROKER PAY RENT LANDLORD/HDFC,,02/07/25,34000.00,,489706.37
02/07/25,UPI/917097207195/SWIGGY FOOD ORDER/HDFC,,02/07/25,190.44,,489515.93
03/07/25,POS 4902XXXXXXXX7192 PRACTO CONSULT,,03/07/25,1209.93,,488306.00
04/07/25,UPI/302067697558/DOMINOS PIZZA IND/ICIC,,04/07/25,553.73,,487752.27
05/07/25,ACH DR HDFC BANK HOME LOAN EMI JUL25,,05/07/25,21500.00,,466252.27
05/07/25,ATW-5359XXXXXXXX1329-HDFC BANK ATM CASH WITHDRAWAL,,05/07/25,3000.00,,463252.27
05/07/25,POS 4796XXXXXXXX2394 PRACTO CONSULT,,05/07/25,1129.33,,462122.94
05/07/25,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,05/07/25,1199.00,,460923.94
06/07/25,UPI/408593205741/BARBEQUE NATION HOSP/HDFC,,06/07/25,2301.02,,458622.92
06/07/25,UPI/831775419752/ZERODHA BROKING MF SIP/ZERO,,06/07/25,20000.00,,438622.92
07/07/25,ACH DR NETFLIX ENTERTAINMENT SVC,,07/07/25,649.00,,437973.92
08/07/25,POS 4087XXXXXXXX9171 THIRD WAVE COFFEE,,08/07/25,313.56,,437660.36
08/07/25,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,08/07/25,2905.06,,434755.30
09/07/25,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,09/07/25,2450.00,,432305.30
09/07/25,UPI/439473881166/BEHROUZ BIRYANI/PAYTM,,09/07/25,696.55,,431608.75
10/07/25,POS 5491XXXXXXXX1455 AMAZON SELLER SERVICES,,10/07/25,4823.64,,426785.11
11/07/25,ACH DR SPOTIFY INDIA PREMIUM,,11/07/25,164.00,,426621.11
11/07/25,UPI/917420909807/OLA CABS ANI TECH/PAYTM,,11/07/25,379.13,,426241.98
12/07/25,POS 5137XXXXXXXX6907 MCDONALDS INDIA PVT,,12/07/25,494.24,,425747.74
12/07/25,UPI/593516707805/BOOKMYSHOW TICKETS/HDFC,,12/07/25,1511.84,,424235.90
12/07/25,UPI/703183288776/MAHANAGAR GAS BILL PAY/MGAS,,12/07/25,1073.32,,423162.58
13/07/25,POS 5298XXXXXXXX4251 MYNTRA DESIGNS PVT LTD,,13/07/25,2213.23,,420949.35
13/07/25,POS 5475XXXXXXXX5945 DMART AVENUE SUPERMARTS,,13/07/25,3917.45,,417031.90
14/07/25,POS 5422XXXXXXXX1659 MYNTRA DESIGNS PVT LTD,,14/07/25,2561.60,,414470.30
14/07/25,UPI/565592761315/NAMMA YATRI/AXIS,,14/07/25,253.79,,414216.51
14/07/25,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,14/07/25,599.00,,413617.51
15/07/25,POS 4750XXXXXXXX9129 THIRD WAVE COFFEE,,15/07/25,252.97,,413364.54
16/07/25,ACH DR ADOBE CREATIVE CLOUD,,16/07/25,1675.00,,411689.54
16/07/25,POS 4505XXXXXXXX1237 STARBUCKS COFFEE INDIA,,16/07/25,412.52,,411277.02
17/07/25,UPI/393568907785/SWIGGY FOOD ORDER/HDFC,,17/07/25,378.21,,410898.81
18/07/25,UPI/649440125998/PAYTM FASTAG RECHARGE/PYTM,,18/07/25,675.36,,410223.45
19/07/25,ACH DR GOOGLE ONE STORAGE,,19/07/25,210.00,,410013.45
19/07/25,UPI/333161110730/CRED CLUB CREDIT CARD BILL/AXIS,,19/07/25,13030.64,,396982.81
19/07/25,UPI/565636223421/ZEPTO NOW/YESB,,19/07/25,1269.39,,395713.42
20/07/25,ATW-4868XXXXXXXX5312-HDFC BANK ATM CASH WITHDRAWAL,,20/07/25,5000.00,,390713.42
20/07/25,UPI/710583472787/AMAZON SELLER SERV REFUND/HDFC,,20/07/25,,1365.02,392078.44
26/07/25,UPI/219714413941/NAMMA YATRI/AXIS,,26/07/25,375.52,,391702.92
26/07/25,UPI/792339993911/ZOMATO ONLINE ORDER/YESB,,26/07/25,325.34,,391377.58
27/07/25,IMPS DR-189766435-SELF TRANSFER TO SAVINGS AC,,27/07/25,49649.58,,341728.00
27/07/25,POS 4297XXXXXXXX5302 CHAAYOS TEA CAFE,,27/07/25,342.19,,341385.81
27/07/25,UPI/641815399421/OLA CABS ANI TECH/PAYTM,,27/07/25,819.97,,340565.84
28/07/25,POS 4214XXXXXXXX5781 CHAAYOS TEA CAFE,,28/07/25,164.16,,340401.68
28/07/25,UPI/193882541677/OLA CABS ANI TECH/PAYTM,,28/07/25,775.59,,339626.09
29/07/25,UPI/718646035804/ZEPTO NOW/YESB,,29/07/25,304.53,,339321.56
29/07/25,UPI/764344552040/NAMMA YATRI/AXIS,,29/07/25,319.50,,339002.06
30/07/25,POS 4637XXXXXXXX4456 CHAAYOS TEA CAFE,,30/07/25,300.18,,338701.88
31/07/25,UPI/685822993802/PHARMEASY ONLINE/ICIC,,31/07/25,1295.85,,337406.03
01/08/25,NEFT CR-HDFC0000123-ACME TECHNOLOGIES PVT LTD-SALARY AUG25,,01/08/25,,185783.97,523190.00
01/08/25,POS 4951XXXXXXXX6196 CHAAYOS TEA CAFE,,01/08/25,179.77,,523010.23
01/08/25,POS 5336XXXXXXXX8891 AMAZON SELLER SERVICES,,01/08/25,5090.07,,517920.16
02/08/25,UPI/547308437898/NOBROKER PAY RENT LANDLORD/HDFC,,02/08/25,34000.00,,483920.16
03/08/25,POS 4707XXXXXXXX2822 CULT FIT FITNESS,,03/08/25,2120.58,,481799.58
04/08/25,UPI/977922608893/BEHROUZ BIRYANI/PAYTM,,04/08/25,1064.90,,480734.68
05/08/25,ACH DR HDFC BANK HOME LOAN EMI AUG25,,05/08/25,21500.00,,459234.68
05/08/25,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,05/08/25,1199.00,,458035.68
06/08/25,UPI/517464384672/ZERODHA BROKING MF SIP/ZERO,,06/08/25,20000.00,,438035.68
06/08/25,UPI/638823776478/UBER INDIA SYSTEMS/HDFC,,06/08/25,484.23,,437551.45
06/08/25,UPI/969816225718/SWIGGY FOOD ORDER/HDFC,,06/08/25,550.73,,437000.72
07/08/25,ACH DR NETFLIX ENTERTAINMENT SVC,,07/08/25,649.00,,436351.72
