Account Name,DUAL-INCOME HOUSEHOLD WITH A CHILD
Account Number,______4898

Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
13 Sep 2024,13 Sep 2024,POS 4705XXXXXXXX1739 CHAAYOS TEA CAFE,,355.09,,521287.74
14 Sep 2024,14 Sep 2024,UPI/979933083287/WOW MOMO FOODS/AXIS,,538.70,,520749.04
14 Sep 2024,14 Sep 2024,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,599.00,,520150.04
15 Sep 2024,15 Sep 2024,UPI/459479221847/ZEPTO NOW/YESB,,867.20,,519282.84
16 Sep 2024,16 Sep 2024,ACH DR ADOBE CREATIVE CLOUD,,2019.00,,517263.84
17 Sep 2024,17 Sep 2024,POS 4010XXXXXXXX2573 MYNTRA DESIGNS PVT LTD,,4933.93,,512329.91
18 Sep 2024,18 Sep 2024,UPI/258188253652/APOLLO PHARMACY/HDFC,,2388.98,,509940.93
18 Sep 2024,18 Sep 2024,UPI/924487847969/BEHROUZ BIRYANI/PAYTM,,903.95,,509036.98
19 Sep 2024,19 Sep 2024,ACH DR GOOGLE ONE STORAGE,,210.00,,508826.98
19 Sep 2024,19 Sep 2024,POS 4353XXXXXXXX4410 DECATHLON SPORTS INDIA,,5856.10,,502970.88
21 Sep 2024,21 Sep 2024,POS 4225XXXXXXXX8613 AMAZON SELLER SERVICES,,3426.09,,499544.79
21 Sep 2024,21 Sep 2024,UPI/974558309726/COUNTRY DELIGHT MILK/AXIS,,832.03,,498712.76
22 Sep 2024,22 Sep 2024,UPI/477879744354/PAYTM FASTAG RECHARGE/PYTM,,1241.32,,497471.44
23 Sep 2024,23 Sep 2024,UPI/234731047149/PAYTM FASTAG RECHARGE/PYTM,,938.42,,496533.02
23 Sep 2024,23 Sep 2024,UPI/749406852514/CRED CLUB CREDIT CARD BILL/AXIS,,10458.60,,486074.42
23 Sep 2024,23 Sep 2024,UPI/871010441915/BIGBASKET SUPERMKT/ICIC,,1942.72,,484131.70
24 Sep 2024,24 Sep 2024,UPI/232423751153/LICIOUS MEAT DELIVERY/HDFC,,1739.82,,482391.88
25 Sep 2024,25 Sep 2024,UPI/381314034113/SWIGGY FOOD ORDER/HDFC,,665.44,,481726.44
26 Sep 2024,26 Sep 2024,UPI/605257111127/SWIGGY FOOD ORDER/HDFC,,473.01,,481253.43
26 Sep 2024,26 Sep 2024,UPI/836991648302/COUNTRY DELIGHT MILK/AXIS,,946.19,,480307.24
27 Sep 2024,27 Sep 2024,IMPS DR-173052813-SELF TRANSFER TO SAVINGS AC,,51206.69,,429100.55
28 Sep 2024,28 Sep 2024,POS 4145XXXXXXXX4679 PRACTO CONSULT,,1198.73,,427901.82
28 Sep 2024,28 Sep 2024,POS 4723XXXXXXXX1020 CHAAYOS TEA CAFE,,349.37,,427552.45
29 Sep 2024,29 Sep 2024,UPI/266285278942/BARBEQUE NATION HOSP/HDFC,,5552.96,,421999.49
30 Sep 2024,30 Sep 2024,POS 4413XXXXXXXX3440 MCDONALDS INDIA PVT,,584.41,,421415.08
30 Sep 2024,30 Sep 2024,POS 4538XXXXXXXX3455 HPCL PETROL PUMP,,3599.03,,417816.05
01 Oct 2024,01 Oct 2024,NEFT CR-ICIC0000456-NORTHSTAR ANALYTICS LLP-SALARY OCT24,,,310379.79,728195.84
02 Oct 2024,02 Oct 2024,UPI/441412080915/NOBROKER PAY RENT LANDLORD/HDFC,,52000.00,,676195.84
02 Oct 2024,02 Oct 2024,UPI/578774269541/FLIPKART INTERNET/HDFC,,11803.75,,664392.09
03 Oct 2024,03 Oct 2024,UPI/107786802897/DOMINOS PIZZA IND/ICIC,,580.11,,663811.98
04 Oct 2024,04 Oct 2024,ACH DR LITTLE SCHOLARS DAYCARE MONTHLY FEE,,18500.00,,645311.98
04 Oct 2024,04 Oct 2024,UPI/669373636020/BIGBASKET SUPERMKT/ICIC,,3738.07,,641573.91
05 Oct 2024,05 Oct 2024,ACH DR HDFC BANK HOME LOAN EMI OCT24,,38000.00,,603573.91
05 Oct 2024,05 Oct 2024,UPI/230365574473/SWIGGY FOOD ORDER/HDFC,,825.64,,602748.27
05 Oct 2024,05 Oct 2024,UPI/469842730488/COUNTRY DELIGHT MILK/AXIS,,1027.39,,601720.88
05 Oct 2024,05 Oct 2024,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,1395.00,,600325.88
06 Oct 2024,06 Oct 2024,POS 5583XXXXXXXX3071 PVR CINEMAS LTD,,1404.85,,598921.03
06 Oct 2024,06 Oct 2024,UPI/416353464130/ZERODHA BROKING MF SIP/ZERO,,35000.00,,563921.03
06 Oct 2024,06 Oct 2024,UPI/940353723673/FLIPKART INTERNET/HDFC,,10791.93,,553129.10
07 Oct 2024,07 Oct 2024,ACH DR NETFLIX ENTERTAINMENT SVC,,649.00,,552480.10
08 Oct 2024,08 Oct 2024,POS 4489XXXXXXXX8811 DECATHLON SPORTS INDIA,,9380.06,,543100.04
08 Oct 2024,08 Oct 2024,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,3310.66,,539789.38
09 Oct 2024,09 Oct 2024,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,2450.00,,537339.38
09 Oct 2024,09 Oct 2024,UPI/909845953994/LICIOUS MEAT DELIVERY/HDFC,,1035.84,,536303.54
10 Oct 2024,10 Oct 2024,NEFT DR-GREENWOOD HIGH SCHOOL-TERM FEE,,46000.00,,490303.54
10 Oct 2024,10 Oct 2024,UPI/158197109413/BARBEQUE NATION HOSP/HDFC,,4218.20,,486085.34
10 Oct 2024,10 Oct 2024,UPI/538386525122/UBER INDIA SYSTEMS/HDFC,,242.79,,485842.55
11 Oct 2024,11 Oct 2024,ACH DR SPOTIFY INDIA PREMIUM,,185.00,,485657.55
12 Oct 2024,12 Oct 2024,UPI/251667280800/MAHANAGAR GAS BILL PAY/MGAS,,1042.16,,484615.39
12 Oct 2024,12 Oct 2024,UPI/582097236397/BARBEQUE NATION HOSP/HDFC,,5806.08,,478809.31
13 Oct 2024,13 Oct 2024,ATW-4588XXXXXXXX9808-HDFC BANK ATM CASH WITHDRAWAL,,3000.00,,475809.31
13 Oct 2024,13 Oct 2024,UPI/763660432196/DOMINOS PIZZA IND/ICIC,,804.68,,475004.63
14 Oct 2024,14 Oct 2024,POS 4001XXXXXXXX3377 CHAAYOS TEA CAFE,,489.07,,474515.56
14 Oct 2024,14 Oct 2024,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,599.00,,473916.56
15 Oct 2024,15 Oct 2024,POS 5482XXXXXXXX1560 MCDONALDS INDIA PVT,,568.35,,473348.21
15 Oct 2024,15 Oct 2024,UPI/773533633964/COUNTRY DELIGHT MILK/AXIS,,944.44,,472403.77
16 Oct 2024,16 Oct 2024,ACH DR ADOBE CREATIVE CLOUD,,2019.00,,470384.77
17 Oct 2024,17 Oct 2024,UPI/770997561680/BLINKIT GROCERY/HDFC,,661.93,,469722.84
18 Oct 2024,18 Oct 2024,POS 4639XXXXXXXX1913 IRCTC RAIL TICKET BOOKING,,1865.48,,467857.36
18 Oct 2024,18 Oct 2024,POS 4935XXXXXXXX7986 MYNTRA DESIGNS PVT LTD,,3853.52,,464003.84
18 Oct 2024,18 Oct 2024,SMS ALERT CHARGES INCL GST,,17.70,,463986.14
19 Oct 2024,19 Oct 2024,ACH DR GOOGLE ONE STORAGE,,210.00,,463776.14
19 Oct 2024,19 Oct 2024,POS 4257XXXXXXXX7447 DECATHLON SPORTS INDIA,,10115.97,,453660.17
19 Oct 2024,19 Oct 2024,UPI/407077552394/LICIOUS MEAT DELIVERY/HDFC,,2022.87,,451637.30
19 Oct 2024,19 Oct 2024,UPI/700258970721/BARBEQUE NATION HOSP/HDFC,,4590.55,,447046.75
20 Oct 2024,20 Oct 2024,POS 5220XXXXXXXX1331 THIRD WAVE COFFEE,,575.81,,446470.94
20 Oct 2024,20 Oct 2024,UPI/410828564458/CRED CLUB CREDIT CARD BILL/AXIS,,8863.12,,437607.82
22 Oct 2024,22 Oct 2024,ATM CASH WDL CHARGE EXCEEDING FREE LIMIT INCL GST,,25.96,,437581.86
22 Oct 2024,22 Oct 2024,POS 4120XXXXXXXX1081 THIRD WAVE COFFEE,,513.73,,437068.13
22 Oct 2024,22 Oct 2024,POS 4396XXXXXXXX4894 TANISHQ JEWELLERY DIWALI,,47909.65,,389158.48
23 Oct 2024,23 Oct 2024,UPI/102881988412/BARBEQUE NATION HOSP/HDFC,,1993.27,,387165.21
23 Oct 2024,23 Oct 2024,UPI/243807276614/LICIOUS MEAT DELIVERY/HDFC,,2178.20,,384987.01
23 Oct 2024,23 Oct 2024,UPI/318011728624/OLA CABS ANI TECH/PAYTM,,731.60,,384255.41
24 Oct 2024,24 Oct 2024,UPI/446042212549/RAPIDO BIKE TAXI/YESB,,165.61,,384089.80
24 Oct 2024,24 Oct 2024,UPI/545855106938/BARBEQUE NATION HOSP/HDFC,,2920.87,,381168.93
25 Oct 2024,25 Oct 2024,ATW-5241XXXXXXXX2603-HDFC BANK ATM CASH WITHDRAWAL,,5000.00,,376168.93
26 Oct 2024,26 Oct 2024,IMPS DR-941074530-SELF TRANSFER TO SAVINGS AC,,56696.90,,319472.03
26 Oct 2024,26 Oct 2024,UPI/744556353060/NYKAA ECOMM/ICIC,,1306.26,,318165.77
26 Oct 2024,26 Oct 2024,UPI/973760006162/ZOMATO ONLINE ORDER/YESB,,1005.03,,317160.74
27 Oct 2024,27 Oct 2024,POS 4553XXXXXXXX8387 STEAM GAMES VALVE CORP,,2054.34,,315106.40
28 Oct 2024,28 Oct 2024,UPI/337945209469/WOW MOMO FOODS/AXIS,,388.04,,314718.36
31 Oct 2024,31 Oct 2024,POS 4469XXXXXXXX7076 STARBUCKS COFFEE INDIA,,731.36,,313987.00
31 Oct 2024,31 Oct 2024,UPI/374896136674/URBAN COMPANY SALON/HDFC,,916.38,,313070.62
01 Nov 2024,01 Nov 2024,NEFT CR-ICIC0000456-NORTHSTAR ANALYTICS LLP-SALARY NOV24,,,308600.84,621671.46
02 Nov 2024,02 Nov 2024,UPI/482252027286/NOBROKER PAY RENT LANDLORD/HDFC,,52000.00,,569671.46
03 Nov 2024,03 Nov 2024,UPI/349136935497/BOOKMYSHOW TICKETS/HDFC,,1209.54,,568461.92
04 Nov 2024,04 Nov 2024,ACH DR LITTLE SCHOLARS DAYCARE MONTHLY FEE,,18500.00,,549961.92
04 Nov 2024,04 Nov 2024,POS 5346XXXXXXXX5190 MCDONALDS INDIA PVT,,595.41,,549366.51
04 Nov 2024,04 Nov 2024,UPI/986822016318/PHARMEASY ONLINE/ICIC,,2211.24,,547155.27
05 Nov 2024,05 Nov 2024,ACH DR HDFC BANK HOME LOAN EMI NOV24,,38000.00,,509155.27
05 Nov 2024,05 Nov 2024,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,1395.00,,507760.27
06 Nov 2024,06 Nov 2024,UPI/292285306527/NAMMA YATRI/AXIS,,425.97,,507334.30
06 Nov 2024,06 Nov 2024,UPI/550372264822/ZERODHA BROKING MF SIP/ZERO,,35000.00,,472334.30
07 Nov 2024,07 Nov 2024,ACH DR NETFLIX ENTERTAINMENT SVC,,649.00,,471685.30
08 Nov 2024,08 Nov 2024,POS 5226XXXXXXXX2054 LAKME SALON,,1686.13,,469999.17
08 Nov 2024,08 Nov 2024,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,2599.39,,467399.78
09 Nov 2024,09 Nov 2024,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,2450.00,,464949.78
09 Nov 2024,09 Nov 2024,POS 4725XXXXXXXX7365 STARBUCKS COFFEE INDIA,,634.74,,464315.04
10 Nov 2024,10 Nov 2024,POS 4045XXXXXXXX9968 MYNTRA DESIGNS PVT LTD,,4302.79,,460012.25
10 Nov 2024,10 Nov 2024,UPI/423172488223/WOW MOMO FOODS/AXIS,,548.21,,459464.04
10 Nov 2024,10 Nov 2024,UPI/708816529334/OLA CABS ANI TECH/PAYTM,,329.41,,459134.63
11 Nov 2024,11 Nov 2024,ACH DR SPOTIFY INDIA PREMIUM,,185.00,,458949.63
11 Nov 2024,11 Nov 2024,POS 5047XXXXXXXX4247 STARBUCKS COFFEE INDIA,,777.22,,458172.41
11 Nov 2024,11 Nov 2024,UPI/582625785842/BLINKIT GROCERY/HDFC,,2340.48,,455831.93
12 Nov 2024,12 Nov 2024,UPI/511793752283/MAHANAGAR GAS BILL PAY/MGAS,,1126.56,,454705.37
13 Nov 2024,13 Nov 2024,POS 5403XXXXXXXX6446 DECATHLON SPORTS INDIA,,8549.46,,446155.91
14 Nov 2024,14 Nov 2024,UPI/567050596694/UBER INDIA SYSTEMS/HDFC,,528.21,,445627.70
14 Nov 2024,14 Nov 2024,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,599.00,,445028.70
16 Nov 2024,16 Nov 2024,ACH DR ADOBE CREATIVE CLOUD,,2019.00,,443009.70
16 Nov 2024,16 Nov 2024,POS 4329XXXXXXXX9537 STARBUCKS COFFEE INDIA,,1071.02,,441938.68
16 Nov 2024,16 Nov 2024,POS 4701XXXXXXXX3198 HPCL PETROL PUMP,,3894.24,,438044.44
17 Nov 2024,17 Nov 2024,POS 4691XXXXXXXX2688 CHAAYOS TEA CAFE,,406.39,,437638.05
18 Nov 2024,18 Nov 2024,UPI/464665602208/COUNTRY DELIGHT MILK/AXIS,,899.80,,436738.25
19 Nov 2024,19 Nov 2024,ACH DR GOOGLE ONE STORAGE,,210.00,,436528.25
19 Nov 2024,19 Nov 2024,ATW-5136XXXXXXXX7942-HDFC BANK ATM CASH WITHDRAWAL,,2000.00,,434528.25
21 Nov 2024,21 Nov 2024,UPI/856428490944/RAPIDO BIKE TAXI/YESB,,341.96,,434186.29
22 Nov 2024,22 Nov 2024,ATW-4914XXXXXXXX9402-HDFC BANK ATM CASH WITHDRAWAL,,10000.00,,424186.29
22 Nov 2024,22 Nov 2024,POS 5599XXXXXXXX7246 IRCTC RAIL TICKET BOOKING,,932.45,,423253.84
22 Nov 2024,22 Nov 2024,UPI/266952159058/PHARMEASY ONLINE/ICIC,,2145.98,,421107.86
23 Nov 2024,23 Nov 2024,UPI/287811657310/BARBEQUE NATION HOSP/HDFC,,5194.51,,415913.35
23 Nov 2024,23 Nov 2024,UPI/662182024305/FLIPKART INTERNET/HDFC,,3977.62,,411935.73
24 Nov 2024,24 Nov 2024,POS 5167XXXXXXXX7503 PVR CINEMAS LTD,,1196.21,,410739.52
24 Nov 2024,24 Nov 2024,UPI/186863099731/BIGBASKET SUPERMKT/ICIC,,3214.97,,407524.55
24 Nov 2024,24 Nov 2024,UPI/623023601882/BEHROUZ BIRYANI/PAYTM,,1337.36,,406187.19
26 Nov 2024,26 Nov 2024,UPI/241045593416/FLIPKART INTERNET/HDFC,,6779.86,,399407.33
27 Nov 2024,27 Nov 2024,POS 4143XXXXXXXX3388 STARBUCKS COFFEE INDIA,,425.84,,398981.49
28 Nov 2024,28 Nov 2024,UPI/592148385100/WOW MOMO FOODS/AXIS,,342.92,,398638.57
29 Nov 2024,29 Nov 2024,POS 4527XXXXXXXX6980 MCDONALDS INDIA PVT,,335.64,,398302.93
29 Nov 2024,29 Nov 2024,UPI/498817656768/RAPIDO BIKE TAXI/YESB,,294.36,,398008.57
30 Nov 2024,30 Nov 2024,UPI/244428695681/ZOMATO ONLINE ORDER/YESB,,401.42,,397607.15
01 Dec 2024,01 Dec 2024,NEFT CR-ICIC0000456-NORTHSTAR ANALYTICS LLP-SALARY DEC24,,,308937.62,706544.77
01 Dec 2024,01 Dec 2024,UPI/161404597969/NAMMA YATRI/AXIS,,506.80,,706037.97
02 Dec 2024,02 Dec 2024,UPI/354649936265/NOBROKER PAY RENT LANDLORD/HDFC,,52000.00,,654037.97
03 Dec 2024,03 Dec 2024,POS 5539XXXXXXXX4203 IRCTC RAIL TICKET BOOKING,,691.23,,653346.74
04 Dec 2024,04 Dec 2024,ACH DR LITTLE SCHOLARS DAYCARE MONTHLY FEE,,18500.00,,634846.74
05 Dec 2024,05 Dec 2024,ACH DR HDFC BANK HOME LOAN EMI DEC24,,38000.00,,596846.74
05 Dec 2024,05 Dec 2024,POS 4192XXXXXXXX1469 CHAAYOS TEA CAFE,,444.84,,596401.90
05 Dec 2024,05 Dec 2024,POS 5480XXXXXXXX7767 LAKME SALON,,3716.83,,592685.07
05 Dec 2024,05 Dec 2024,UPI/636734815245/PAYTM FASTAG RECHARGE/PYTM,,817.87,,591867.20
05 Dec 2024,05 Dec 2024,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,1395.00,,590472.20
06 Dec 2024,06 Dec 2024,POS 4277XXXXXXXX3704 IRCTC RAIL TICKET BOOKING,,2381.14,,588091.06
06 Dec 2024,06 Dec 2024,UPI/875790384593/ZERODHA BROKING MF SIP/ZERO,,35000.00,,553091.06
07 Dec 2024,07 Dec 2024,ACH DR NETFLIX ENTERTAINMENT SVC,,649.00,,552442.06
08 Dec 2024,08 Dec 2024,POS 5055XXXXXXXX6003 IRCTC RAIL TICKET BOOKING,,1126.51,,551315.55
08 Dec 2024,08 Dec 2024,POS 5249XXXXXXXX6428 CULT FIT FITNESS,,2702.20,,548613.35
08 Dec 2024,08 Dec 2024,UPI/111953806585/ZOMATO ONLINE ORDER/YESB,,683.19,,547930.16
08 Dec 2024,08 Dec 2024,UPI/924832346398/AMAZON SELLER SERV REFUND/HDFC,,,422.50,548352.66
08 Dec 2024,08 Dec 2024,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,4343.09,,544009.57
09 Dec 2024,09 Dec 2024,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,2450.00,,541559.57
09 Dec 2024,09 Dec 2024,UPI/428899969168/DOMINOS PIZZA IND/ICIC,,886.64,,540672.93
11 Dec 2024,11 Dec 2024,ACH DR SPOTIFY INDIA PREMIUM,,185.00,,540487.93
11 Dec 2024,11 Dec 2024,POS 5343XXXXXXXX6761 IRCTC RAIL TICKET BOOKING,,2813.49,,537674.44
12 Dec 2024,12 Dec 2024,UPI/446491471403/MAHANAGAR GAS BILL PAY/MGAS,,625.39,,537049.05
13 Dec 2024,13 Dec 2024,UPI/685155175101/DOMINOS PIZZA IND/ICIC,,902.11,,536146.94
14 Dec 2024,14 Dec 2024,UPI/115152793158/BOOKMYSHOW TICKETS/HDFC,,1338.49,,534808.45
14 Dec 2024,14 Dec 2024,UPI/293870971060/UBER INDIA SYSTEMS/HDFC,,1012.90,,533795.55
14 Dec 2024,14 Dec 2024,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,599.00,,533196.55
15 Dec 2024,15 Dec 2024,UPI/300420685789/WOW MOMO FOODS/AXIS,,443.86,,532752.69
16 Dec 2024,16 Dec 2024,ACH DR ADOBE CREATIVE CLOUD,,2019.00,,530733.69
19 Dec 2024,19 Dec 2024,ACH DR GOOGLE ONE STORAGE,,210.00,,530523.69
19 Dec 2024,19 Dec 2024,ATW-5294XXXXXXXX8658-HDFC BANK ATM CASH WITHDRAWAL,,10000.00,,520523.69
19 Dec 2024,19 Dec 2024,UPI/481910519192/FLIPKART INTERNET/HDFC,,6134.81,,514388.88
20 Dec 2024,20 Dec 2024,POS 4349XXXXXXXX6597 IRCTC RAIL TICKET BOOKING,,2515.59,,511873.29
20 Dec 2024,20 Dec 2024,POS 5009XXXXXXXX4736 CULT FIT FITNESS,,2554.83,,509318.46
20 Dec 2024,20 Dec 2024,UPI/407455563235/NYKAA ECOMM/ICIC,,3281.51,,506036.95
21 Dec 2024,21 Dec 2024,UPI/469490926077/LICIOUS MEAT DELIVERY/HDFC,,1634.82,,504402.13
21 Dec 2024,21 Dec 2024,UPI/985901452979/BEHROUZ BIRYANI/PAYTM,,1815.30,,502586.83
22 Dec 2024,22 Dec 2024,ACH DR AMAZON PRIME MEMBERSHIP,,1499.00,,501087.83
22 Dec 2024,22 Dec 2024,UPI/235723394311/BARBEQUE NATION HOSP/HDFC,,3254.51,,497833.32
24 Dec 2024,24 Dec 2024,UPI/204029475060/CRED CLUB CREDIT CARD BILL/AXIS,,15926.28,,481907.04
25 Dec 2024,25 Dec 2024,UPI/759796764730/URBAN COMPANY SALON/HDFC,,2861.22,,479045.82
27 Dec 2024,27 Dec 2024,IMPS DR-325244744-SELF TRANSFER TO SAVINGS AC,,39271.38,,439774.44
27 Dec 2024,27 Dec 2024,SMS ALERT CHARGES INCL GST,,17.70,,439756.74
28 Dec 2024,28 Dec 2024,UPI/215964617780/SWIGGY FOOD ORDER/HDFC,,1277.22,,438479.52
29 Dec 2024,29 Dec 2024,UPI/210154461628/COUNTRY DELIGHT MILK/AXIS,,1193.02,,437286.50
29 Dec 2024,29 Dec 2024,UPI/672616781760/BEHROUZ BIRYANI/PAYTM,,1195.70,,436090.80
31 Dec 2024,31 Dec 2024,UPI/649422106134/OLA CABS ANI TECH/PAYTM,,338.42,,435752.38
31 Dec 2024,31 Dec 2024,UPI/653384711847/BEHROUZ BIRYANI/PAYTM,,1212.44,,434539.94
01 Jan 2025,01 Jan 2025,NEFT CR-ICIC0000456-NORTHSTAR ANALYTICS LLP-SALARY JAN25,,,310507.86,745047.80
02 Jan 2025,02 Jan 2025,UPI/134890711793/NOBROKER PAY RENT LANDLORD/HDFC,,52000.00,,693047.80
02 Jan 2025,02 Jan 2025,UPI/622099220294/FLIPKART INTERNET/HDFC,,10809.64,,682238.16
02 Jan 2025,02 Jan 2025,UPI/795376781062/SWIGGY FOOD ORDER/HDFC,,1004.26,,681233.90
03 Jan 2025,03 Jan 2025,POS 4642XXXXXXXX7501 MYNTRA DESIGNS PVT LTD,,6299.02,,674934.88
03 Jan 2025,03 Jan 2025,UPI/156647594116/DOMINOS PIZZA IND/ICIC,,896.80,,674038.08
04 Jan 2025,04 Jan 2025,ACH DR LITTLE SCHOLARS DAYCARE MONTHLY FEE,,18500.00,,655538.08
04 Jan 2025,04 Jan 2025,UPI/339431407336/RAPIDO BIKE TAXI/YESB,,86.33,,655451.75
04 Jan 2025,04 Jan 2025,UPI/560745532597/BIGBASKET SUPERMKT/ICIC,,3596.03,,651855.72
05 Jan 2025,05 Jan 2025,ACH DR HDFC BANK HOME LOAN EMI JAN25,,38000.00,,613855.72
05 Jan 2025,05 Jan 2025,POS 4790XXXXXXXX2249 CHAAYOS TEA CAFE,,382.55,,613473.17
05 Jan 2025,05 Jan 2025,POS 5449XXXXXXXX4101 PVR CINEMAS LTD,,735.12,,612738.05
05 Jan 2025,05 Jan 2025,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,1395.00,,611343.05
06 Jan 2025,06 Jan 2025,POS 4015XXXXXXXX6575 MCDONALDS INDIA PVT,,763.79,,610579.26
06 Jan 2025,06 Jan 2025,POS 4271XXXXXXXX4610 IRCTC RAIL TICKET BOOKING,,1743.40,,608835.86
06 Jan 2025,06 Jan 2025,UPI/530842873030/ZERODHA BROKING MF SIP/ZERO,,35000.00,,573835.86
07 Jan 2025,07 Jan 2025,ACH DR NETFLIX ENTERTAINMENT SVC,,649.00,,573186.86
07 Jan 2025,07 Jan 2025,UPI/463921243604/DOMINOS PIZZA IND/ICIC,,695.57,,572491.29
08 Jan 2025,08 Jan 2025,UPI/376658297476/NYKAA ECOMM/ICIC,,3678.48,,568812.81
08 Jan 2025,08 Jan 2025,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,3321.66,,565491.15
09 Jan 2025,09 Jan 2025,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,2450.00,,563041.15
10 Jan 2025,10 Jan 2025,NEFT DR-GREENWOOD HIGH SCHOOL-TERM FEE,,46000.00,,517041.15
11 Jan 2025,11 Jan 2025,ACH DR SPOTIFY INDIA PREMIUM,,185.00,,516856.15
11 Jan 2025,11 Jan 2025,ATW-5046XXXXXXXX5567-HDFC BANK ATM CASH WITHDRAWAL,,3000.00,,513856.15
11 Jan 2025,11 Jan 2025,POS 4548XXXXXXXX1157 MCDONALDS INDIA PVT,,734.07,,513122.08
11 Jan 2025,11 Jan 2025,POS 5182XXXXXXXX3518 STEAM GAMES VALVE CORP,,4026.56,,509095.52
11 Jan 2025,11 Jan 2025,POS 5436XXXXXXXX5397 DECATHLON SPORTS INDIA,,7793.82,,501301.70
11 Jan 2025,11 Jan 2025,UPI/191887775901/COUNTRY DELIGHT MILK/AXIS,,1163.59,,500138.11
11 Jan 2025,11 Jan 2025,UPI/724541151720/OLA CABS ANI TECH/PAYTM,,304.15,,499833.96
